Company_Brand,HeadQuarter,Sector,Amount,Funding Year
Classplus,Unknown,Education,2500000,2020
Chaayos,Unknown,Agriculture and Food Production,21500000,2020
Petpooja,Ahmedabad,Information Technology (IT),2000000,2020
Altor,Unknown,Information Technology (IT),0,2020
Pepperfry,Mumbai,E-Commerce and Retail,40000000,2020
Firstcry,Pune,E-Commerce and Retail,296000000,2020
Byju,Unknown,Education,200000000,2020
Waycool,Chennai,Other,32000000,2020
Workindia,Unknown,Career and Personal Development,6000000,2020
Qyuki,Mumbai,Media and Entertainment,3500000,2020
Leap India,Coimbatore,Other,30000000,2020
Picxy,Hyderabad,Media and Entertainment,250000,2020
Krimanshi,Jodhpur,Other,20000,2020
Neetprep,Delhi,Education,0,2020
Dot Pvt. Ltd,Gurugram,Banking and Financial Services,8000000,2020
Kuku Fm,Mumbai,Media and Entertainment,5500000,2020
Supermoney,Mumbai,Banking and Financial Services,1000000,2020
Rebel Foods,Unknown,Agriculture and Food Production,4900000,2020
Alphavector,Bengaluru,E-Commerce and Retail,0,2020
Fox Capital,Jaipur,Banking and Financial Services,2500000,2020
Tribe Theory,Bengaluru,Real Estate,3500000,2020
Fleetx,Unknown,Information Technology (IT),1402400,2020
Embibe,Mumbai,Education,12618300,2020
Entri,Kochi,Education,1400000,2020
Oye! Rickshaw,Unknown,Transportation and Tourism,10000000,2020
Seal Professional,Bengaluru,Education,0,2020
Sprinng Foods,Mumbai,Agriculture and Food Production,0,2020
1Mg,Gurugram,Healthcare and Fitness,9900000,2020
Aagey,Bengaluru,Banking and Financial Services,0,2020
Doubtnut,Gurugram,Education,15000000,2020
Adonmo,Bengaluru,Other,3000000,2020
Racenergy,Unknown,Transportation and Tourism,0,2020
Bharatpe,Delhi,Banking and Financial Services,100000000,2020
Kisan Network,Gurugram,Other,3000000,2020
Vogo,Bengaluru,Manufacturing,35000000,2020
Unotech,Mumbai,Information Technology (IT),2000000,2020
Zetwerk,Bengaluru,E-Commerce and Retail,2200000,2020
Cureskin,Bengaluru,Healthcare and Fitness,500000,2020
Wizklub,Bengaluru,Education,982530,2020
Interviewbit,Pune,Education,200000000,2020
Moneytap,Unknown,Banking and Financial Services,70185200,2020
Uniplatform Tech,Delhi,Information Technology (IT),0,2020
Indwealth,Gurugram,Banking and Financial Services,12000000,2020
Bizongo,Mumbai,E-Commerce and Retail,30000000,2020
Appsflyer,Bengaluru,Information Technology (IT),210000000,2020
Digit Insurance,Bengaluru,Banking and Financial Services,84000000,2020
Livspace,Bengaluru,Career and Personal Development,60000000,2020
Getvantage,Mumbai,Banking and Financial Services,0,2020
Konfinity,Noida,Education,0,2020
Pine Labs,Noida,Banking and Financial Services,0,2020
Instoried,Delhi,Information Technology (IT),0,2020
Nupay,Haryana,Banking and Financial Services,0,2020
Loginext,Unknown,Transportation and Tourism,39000000,2020
Samosa Singh,Bengaluru,Agriculture and Food Production,2700000,2020
Crysta,Delhi,Healthcare and Fitness,1403400,2020
Eupheus Learning,Delhi,Education,4300000,2020
Bounce,Bengaluru,Other,105000000,2020
Park+,Unknown,Information Technology (IT),11000000,2020
Goodmylk,Bengaluru,Agriculture and Food Production,400000,2020
Smartkarrot,Unknown,Information Technology (IT),1000000,2020
Skylo,Unknown,Information Technology (IT),103000000,2020
Tea Trunk,Goa,Agriculture and Food Production,220000,2020
Zoomcar,Bengaluru,Transportation and Tourism,30000000,2020
Mera Cashier,Noida,Banking and Financial Services,250000,2020
Samya Ai,Unknown,Information Technology (IT),6000000,2020
Kristal Ai,Unknown,Information Technology (IT),6000000,2020
Invento Robotics,Unknown,Other,281300,2020
Zimyo,Gurugram,Career and Personal Development,0,2020
Sabse Sasta Dukaan,Kolkata,Healthcare and Fitness,0,2020
Fitphilia,Mumbai,Healthcare and Fitness,0,2020
Medicus,Mumbai,Healthcare and Fitness,12700,2020
Monech,Mumbai,Banking and Financial Services,12700,2020
Teach Us,Unknown,Education,12700,2020
Dealberg,Bengaluru,E-Commerce and Retail,0,2020
Phenom People,Unknown,Career and Personal Development,30000000,2020
Extra Edge,Pune,Education,700000,2020
Capital Quotient,Bengaluru,Banking and Financial Services,600000,2020
Karfa,Delhi,Other,25000,2020
Gamerji,Unknown,Media and Entertainment,400000,2020
Bounce,Bengaluru,Other,97500000,2020
Zinier,Bengaluru,Manufacturing,90000000,2020
Proeves,Delhi,Education,507000,2020
Toddle,Bengaluru,Other,0,2020
Aesthetic Nutrition,Unknown,Agriculture and Food Production,0,2020
Capital Float,Bengaluru,Banking and Financial Services,15000000,2020
Ninjacart,Bengaluru,E-Commerce and Retail,10000000,2020
Technifybiz,Unknown,E-Commerce and Retail,2000000,2020
Wysh,Hyderabad,Other,2000000,2020
Keito,Pune,Information Technology (IT),160000,2020
Klub,Unknown,Banking and Financial Services,2000000,2020
Aadhar,Mumbai,Other,0,2020
Incubatehub,Bengaluru,Information Technology (IT),0,2020
Rage Coffee,Delhi,Other,0,2020
Skilancer,Noida,Information Technology (IT),0,2020
Harappa Education,Delhi,Education,0,2020
Rheo,Unknown,Media and Entertainment,2000000,2020
Axio Biosolutions,Bengaluru,Healthcare and Fitness,5200000,2020
Techbooze,Unknown,Career and Personal Development,15000000,2020
Paymart,Chandigarh,Banking and Financial Services,0,2020
Testbook,Unknown,Education,8400000,2020
Faballey,Noida,Other,1100000,2020
Haikujam,Unknown,Other,3400000,2020
Mamaearth,Unknown,Other,18300000,2020
Rentomojo,Unknown,E-Commerce and Retail,2000000,2020
Zomato,Unknown,Agriculture and Food Production,150000000,2020
Byju,Unknown,Education,200000000,2020
Generico,Mumbai,Healthcare and Fitness,1400000,2020
Highradius,Hyderabad,Information Technology (IT),125000000,2020
Chai Kings,Chennai,Agriculture and Food Production,1000000,2020
Rivigo,Gurugram,Transportation and Tourism,3400000,2020
Buildpan,Indore,Information Technology (IT),0,2020
Shiksha,Unknown,Education,181000,2020
Super Surfaces,Hyderabad,Other,500000,2020
Quicko,Ahmedabad,Social Development,280000,2020
Satin Creditcare,Gurgaon,Banking and Financial Services,15000000,2020
Xpressbees,Unknown,Transportation and Tourism,10000000,2020
Farmerp,Pune,Other,0,2020
Wealth Bucket,Unknown,Banking and Financial Services,3000000,2020
Gomechanic,Delhi,Manufacturing,14700000,2020
Fashor,Chennai,Fashion and Beauty,1000000,2020
Leverage Edu,Delhi,Education,1500000,2020
Epifi,Unknown,Banking and Financial Services,13200000,2020
Purplle,Mumbai,Fashion and Beauty,8000000,2020
Shuttl,Delhi,Transportation and Tourism,8043000,2020
Pando,Chennai,Information Technology (IT),9000000,2020
Unbox Robotics,Bengaluru,Other,1200000,2021
upGrad,Mumbai,Education,120000000,2021
Lead School,Mumbai,Education,30000000,2021
Bizongo,Mumbai,E-Commerce and Retail,51000000,2021
FypMoney,Gurugram,Banking and Financial Services,2000000,2021
Urban Company,Delhi,Other,188000000,2021
Comofi Medtech,Bengaluru,Healthcare and Fitness,200000,2021
Qube Health,Mumbai,Healthcare and Fitness,0,2021
Vitra.ai,Bengaluru,Information Technology (IT),0,2021
Taikee,Mumbai,E-Commerce and Retail,1000000,2021
Fitterfly,Mumbai,Healthcare and Fitness,3000000,2021
FreeStand,Delhi,E-Commerce and Retail,100000,2021
MyDentalPlan,Bengaluru,Healthcare and Fitness,700000,2021
Freyr Energy,Hyderabad,Energy,2000000,2021
DealShare,Jaipur,E-Commerce and Retail,9000000,2021
Tessolve,Bengaluru,Manufacturing,40000000,2021
Smart Joules,Delhi,Energy,49000000,2021
ORAI,Bengaluru,Other,400000,2021
ixamBee,Delhi,Education,300000,2021
CoinSwitch Kuber,Bengaluru,Banking and Financial Services,25000000,2021
Razorpay,Bengaluru,Banking and Financial Services,160000000,2021
Uable,Bengaluru,Education,0,2021
ZFW Hospitality,Delhi,Agriculture and Food Production,150000,2021
Optimized Electrotech,Ahmadabad,Transportation and Tourism,1800000,2021
Northern Arc,Chennai,Banking and Financial Services,5000000,2021
Chara,Bengaluru,Information Technology (IT),850000,2021
Sirona Hygiene,Delhi,Healthcare and Fitness,3000000,2021
Pristyn Care,Gurugram,Healthcare and Fitness,53000000,2021
TrulyMadly,Delhi,Social Development,2000000,2021
Vidyakul,Unknown,Education,500000,2021
Jambox Games,Bengaluru,Media and Entertainment,1100000,2021
Miko,Mumbai,Information Technology (IT),6000000,2021
SuperK,Andhra Pradesh,E-Commerce and Retail,800000,2021
TagZ Foods,Bengaluru,Agriculture and Food Production,500000,2021
Fuel Buddy,Delhi,Other,1000000,2021
M1xchange,Gurugram,Banking and Financial Services,10000000,2021
Spintly,Goa,Information Technology (IT),500000,2021
EF Polymer,Rajsamand,Other,200000,2021
boAt,Delhi,Manufacturing,6000000,2021
TruNativ,Mumbai,Agriculture and Food Production,0,2021
iBus,Bengaluru,Information Technology (IT),21000000,2021
Puresh Daily,Ranchi,Agriculture and Food Production,100000,2021
LearnVern,Ahmadabad,Education,1000000,2021
LimeChat,Faridabad,Other,7500000,2021
Dybo,Bengaluru,Other,100000,2021
moEVing,Gurugram,Transportation and Tourism,1000000,2021
WeWork India,Bengaluru,Events and Hospitality,26000000,2021
Solethreads,Gurugram,Fashion and Beauty,1000000,2021
Beldara,Mumbai,E-Commerce and Retail,7400000,2021
CredFlow,Delhi,Banking and Financial Services,2000000,2021
Do Your Thng,Gurugram,E-Commerce and Retail,1500000,2021
Oye Rickshaw,Gurugram,Transportation and Tourism,3000000,2021
Legitquest,Delhi,Career and Personal Development,600000,2021
Swiggy,Bengaluru,Agriculture and Food Production,800000000,2021
AntWak,Bengaluru,Education,0,2021
PlayShifu,Bengaluru,Education,17000000,2021
Pitstop,Bengaluru,Manufacturing,3500000,2021
Lendingkart,Gujarat,Banking and Financial Services,15000000,2021
CRED,Bengaluru,Banking and Financial Services,215000000,2021
Karnival,Bengaluru,Other,2500000,2021
PharmEasy,Mumbai,Healthcare and Fitness,350000000,2021
WESS,Mumbai,Energy,2000000,2021
ShopSe,Mumbai,Banking and Financial Services,5500000,2021
Fantasy Akhada,Gurugram,Healthcare and Fitness,600000,2021
Rage Coffee,Delhi,Agriculture and Food Production,0,2021
Groww,Bengaluru,Banking and Financial Services,83000000,2021
Avanti Finance,Bengaluru,Banking and Financial Services,26000000,2021
Kudos,Pune,Banking and Financial Services,0,2021
OfBusiness,Gurugram,Banking and Financial Services,110000000,2021
Superpro.ai,Bengaluru,Information Technology (IT),3000000,2021
ShareChat,Bengaluru,Media and Entertainment,500000000,2021
WiT-ACE,Gurugram,Career and Personal Development,1000000,2021
Spinny,Gurugram,E-Commerce and Retail,65000000,2021
Alteria Capital,Mumbai,Banking and Financial Services,150000000000,2021
Safexpay,Thane,Banking and Financial Services,6000000,2021
PumPumPum,Gurugram,E-Commerce and Retail,700000,2021
Speciale Invest,Bengaluru,Banking and Financial Services,10000000,2021
Eunimart,Hyderabad,E-Commerce and Retail,700000,2021
Meesho,Bengaluru,E-Commerce and Retail,300000000,2021
CareerLabs,Bengaluru,Education,2200000,2021
Uable,Bengaluru,Education,35000000,2021
Zoko,Bengaluru,Information Technology (IT),140000000,2021
GetWork,Gurugram,Career and Personal Development,200000,2021
Easebuzz,Pune,E-Commerce and Retail,4000000,2021
Chingari,Bengaluru,Media and Entertainment,13000000,2021
DusMinute,Bengaluru,E-Commerce and Retail,1100000,2021
Onsurity,Bengaluru,Healthcare and Fitness,0,2021
Karbon Card,Bengaluru,Banking and Financial Services,0,2021
Factors.AI,Bengaluru,Other,2000000,2021
Elevar,Mumbai,Healthcare and Fitness,2000000,2021
Studio Sirah,Bengaluru,Media and Entertainment,800000,2021
OTO Capital,Mumbai,Banking and Financial Services,6000000,2021
1Bridge,Bengaluru,E-Commerce and Retail,2500000,2021
Skeps,Gurugram,Banking and Financial Services,9500000,2021
Curefoods,Bengaluru,Agriculture and Food Production,13000000,2021
TartanSense,Bengaluru,Information Technology (IT),5000000,2021
Bewakoof,Mumbai,Fashion and Beauty,8000000,2021
Kirana247,Delhi,Transportation and Tourism,1000000,2021
FanPlay,Unknown,Media and Entertainment,1200000,2021
NeoDocs,Mumbai,Healthcare and Fitness,0,2021
IsGoingOnline,Cochin,E-Commerce and Retail,200000,2021
Camp K12,Gurugram,Education,12000000,2021
Elda Health,Bengaluru,Healthcare and Fitness,1500000,2021
Sporjo,Mumbai,Other,2000000,2021
Advantage Club,Mumbai,Other,1700000,2021
SuperGaming,Pune,Media and Entertainment,5500000,2021
Ruptok,Delhi,Banking and Financial Services,1000000,2021
O’ Be Cocktails,Bengaluru,Manufacturing,400000,2021
Zetwerk,Bengaluru,Career and Personal Development,150000000,2021
AppsForBharat,Bengaluru,Career and Personal Development,4000000,2021
Imagimake,Mumbai,E-Commerce and Retail,0,2021
Khatabook,Bengaluru,Banking and Financial Services,100000000,2021
Smytten,Gurugram,E-Commerce and Retail,6000000,2021
Syook,Bengaluru,Manufacturing,1000000,2021
Akudo,Bengaluru,Banking and Financial Services,0,2021
NOTO,Mumbai,E-Commerce and Retail,500000,2021
Lumiq,Noida,Information Technology (IT),2000000,2021
CommerceUp,Gurugram,Information Technology (IT),0,2021
Breathe Well-being,Gurugram,Healthcare and Fitness,5500000,2021
Hike,Delhi,Information Technology (IT),0,2021
House of Kieraya,Bengaluru,Career and Personal Development,15000000,2021
goEgoNetwork,Pune,Manufacturing,2000000,2021
Probus,Delhi,Information Technology (IT),500000,2021
DrinkPrime,Bengaluru,E-Commerce and Retail,1000000,2021
Smart Express,Mumbai,Transportation and Tourism,10000000,2021
Smallcase,Bengaluru,Banking and Financial Services,40000000,2021
SATYA MicroCapital,Delhi,Banking and Financial Services,10000000,2021
Snack Amor,Mumbai,Agriculture and Food Production,0,2021
Postman,Bengaluru,Information Technology (IT),225000000,2021
Hashnode,Bengaluru,Information Technology (IT),6700000,2021
RACEnergy,Hyderabad,Manufacturing,1300000,2021
BharatPe,Delhi,Banking and Financial Services,20000000,2021
Gyde,Pune,Information Technology (IT),250000,2021
BatteryPool,Pune,Manufacturing,0,2021
AgNext,Chandigarh,Other,21000000,2021
Xpresslane,Bengaluru,Information Technology (IT),400000,2021
LoanKuber,Delhi,Other,1200000,2021
OYO,Gurugram,Events and Hospitality,5000000,2021
Rapido,Bengaluru,Information Technology (IT),52000000,2021
YPay,Noida,Banking and Financial Services,400000,2021
SleepyCat,Mumbai,Manufacturing,3800000,2021
Ultrahuman,Bengaluru,Healthcare and Fitness,17500000,2021
UpScalio,Gurugram,E-Commerce and Retail,42000000,2021
Yellow Class,Gurugram,Education,6000000,2021
Yojak,Gurugram,E-Commerce and Retail,3800000,2021
CreatorStack,Bengaluru,Information Technology (IT),2000000,2021
Expertrons,Mumbai,Education,2300000,2021
Rage Coffee,Delhi,Agriculture and Food Production,5000000,2021
Klub,Bengaluru,Banking and Financial Services,20000000,2021
Navia Life Care,Delhi,Healthcare and Fitness,1000000,2021
1K Kirana Bazaar,Gurugram,E-Commerce and Retail,7000000,2021
Zupee,Gurugram,Media and Entertainment,30000000,2021
Locale.ai,Bengaluru,Information Technology (IT),1000000,2021
VerSe Innovation,Bengaluru,Media and Entertainment,450000000,2021
MetroRide,Bengaluru,Transportation and Tourism,0,2021
Miko,Mumbai,Information Technology (IT),28000000,2021
Whiz League,Delhi,Education,300000,2021
Hash,Delhi,Agriculture and Food Production,3500000,2021
Unacademy,Bengaluru,Education,0,2021
Log 9 Materials,Bengaluru,Information Technology (IT),8500000,2021
upGrad,Mumbai,Education,25000000,2021
FlashPrep,Bengaluru,Education,500000,2021
Kenko Health,Mumbai,Banking and Financial Services,1700000,2021
Wiz Freight,Chennai,Transportation and Tourism,3500000,2021
Credgenics,Delhi,Banking and Financial Services,25000000,2021
BlueLearn,Goa,Education,400000,2021
NimbleBox.ai,Chennai,Other,1000000,2021
Pickrr,Gurugram,Transportation and Tourism,12000000,2021
Stellaris Venture Partners,Bengaluru,Banking and Financial Services,225000000,2021
Grip Invest,Gurugram,Banking and Financial Services,3000000,2021
Heads Up For Tails,Delhi,Other,37000000,2021
Blue Tokai Coffee Roasters,Delhi,Agriculture and Food Production,2000000,2021
Neeman,Hyderabad,E-Commerce and Retail,2000000,2021
BharatPe,Delhi,Banking and Financial Services,370000000,2021
GoSats,Bengaluru,Banking and Financial Services,700000,2021
StockGro,Bengaluru,Banking and Financial Services,5000000,2021
Onsurity,Bengaluru,Healthcare and Fitness,16000000,2021
Khabri,Gurugram,Media and Entertainment,2000000,2021
Celcius,Mumbai,Transportation and Tourism,500000,2021
AyuRythm,Bengaluru,Healthcare and Fitness,0,2021
Enguru,Bengaluru,Education,0,2021
Rocket Skills,Gurugram,Education,200000,2021
RenewBuy,Gurugram,Banking and Financial Services,10000000,2021
Faarms,Bengaluru,Other,2000000,2021
UrbanMatrix Technologies,Chennai,Media and Entertainment,100000,2021
Jupiter,Mumbai,Banking and Financial Services,44000000,2021
Pixuate,Bengaluru,Information Technology (IT),1000000,2021
Playo,Bengaluru,Other,500000,2021
Toothsi,Mumbai,Healthcare and Fitness,20000000,2021
Soothe Healthcare,Delhi,E-Commerce and Retail,10000000,2021
Goodmeetings,Bengaluru,Information Technology (IT),1700000,2021
Apnaklub,Bengaluru,E-Commerce and Retail,3500000,2021
ChefKart,Gurugram,E-Commerce and Retail,300000,2021
Fashinza,Gurugram,Fashion and Beauty,20000000,2021
Fabheads,Chennai,Manufacturing,0,2021
QuickShift,Pune,Transportation and Tourism,770000,2021
StackBOX,Bengaluru,Transportation and Tourism,1200000,2021
MedPrime Technologies,Thane,Healthcare and Fitness,0,2021
infra.market,Thane,Other,125000000,2021
CollegeDekho,Gurgaon,Education,35000000,2021
BOX8,Mumbai,Agriculture and Food Production,40000000,2021
Simpl,Bengaluru,E-Commerce and Retail,40000000,2021
8i Ventures,Mumbai,Banking and Financial Services,50000000,2021
PayGlocal,Bengaluru,Banking and Financial Services,4900000,2021
Curefit,Bengaluru,Healthcare and Fitness,145000000,2021
Pocket FM,Bengaluru,Other,22000000,2021
CHARGE+ZONE,Vadodara,Manufacturing,10000000,2021
PlanetSpark,Gurugram,Education,13000000,2021
LenDenClub,Mumbai,Banking and Financial Services,10000000,2021
CometChat,Mumbai,Information Technology (IT),10000000,2021
AgroStar,Pune,Other,70000000,2021
Bizongo,Mumbai,Information Technology (IT),100000000,2021
Probus Insurance,Mumbai,Banking and Financial Services,6700000,2021
MoEngage,Bengaluru,Information Technology (IT),30000000,2021
CloudSEK,Bengaluru,Information Technology (IT),7000000,2021
Exponent Energy,Bengaluru,Manufacturing,5000000,2021
Trinkerr,Bengaluru,Banking and Financial Services,6600000,2021
Zorro,Gurugram,Media and Entertainment,32000000,2021
Ultraviolette,Bengaluru,Manufacturing,150000000,2021
NephroPlus,Hyderabad,Healthcare and Fitness,24000000,2021
Unremot,Bengaluru,Information Technology (IT),700000,2021
FanAnywhere,Bengaluru,Banking and Financial Services,0,2021
PingoLearn,Pune,Education,200000,2021
Spry,Mumbai,Other,1500000,2021
Enmovil,Hyderabad,Information Technology (IT),1300000,2021
ASQI Advisors,Mumbai,Banking and Financial Services,1000000,2021
Insurance Samadhan,Delhi,Banking and Financial Services,725000,2021
Evenflow Brands,Mumbai,E-Commerce and Retail,500000,2021
MasterChow,Hauz Khas,Agriculture and Food Production,461000,2021
Fullife Healthcare,Unknown,Other,22000000,2021
MoEVing,Gurugram,Information Technology (IT),5000000,2021
Pristyn Care,Gurugram,Healthcare and Fitness,96000000,2021
Plix,Mumbai,Healthcare and Fitness,5000000,2021
Uni Cards,Bengaluru,Banking and Financial Services,70000000,2021
Practically,Hyderabad,Education,5000000,2021
Nestasia,Kolkata,E-Commerce and Retail,4000000,2021
Vedic Cosmeceuticals,Noida,Fashion and Beauty,32000000,2021
Juspay,Bengaluru,Banking and Financial Services,60000000,2021
TranZact,Mumbai,Information Technology (IT),7000000,2021
Atomberg,Mumbai,Information Technology (IT),20000000,2021
Ola,Bengaluru,Other,500000000,2021
Mohalla Tech,Bengaluru,Media and Entertainment,266000000,2021
Stack,Bengaluru,Banking and Financial Services,4500000,2021
PropReturns,Mumbai,Other,1200000,2021
WeSkill,Gurugram,Education,4000000,2021
Fitpage,Mumbai,Healthcare and Fitness,300000,2021
ShopMyLooks,Noida,Other,200000,2021
ByteLearn,Noida,Education,9500000,2021
Dista,Pune,Information Technology (IT),1200000,2021
OfBusiness,Gurugram,Banking and Financial Services,325000000,2021
Bizongo,Mumbai,E-Commerce and Retail,100000000,2021
FRND,Bengaluru,Media and Entertainment,6500000,2021
Metadome,Bengaluru,Information Technology (IT),4000000,2021
Keka HR,Hyderabad,Information Technology (IT),1600000,2021
The Gourmet Jar,Noida,Agriculture and Food Production,150000,2021
Flo Mobility,Bengaluru,Manufacturing,400000,2021
Yodacart,Thane,E-Commerce and Retail,225000,2021
TheHouseMonk,Bengaluru,Other,5000000,2021
Zepto,Bengaluru,E-Commerce and Retail,100000000,2021
Sirona Hygiene,Delhi,Healthcare and Fitness,10000000,2021
Jumbotail,Bengaluru,E-Commerce and Retail,85000000,2021
Captain Fresh,Bengaluru,Transportation and Tourism,40000000,2021
Deciwood,Delhi,Information Technology (IT),200000,2021
Kohbee,Bengaluru,Education,235000,2021
Perfora,Gurugram,E-Commerce and Retail,260000,2021
Unbox Robotics,Pune,Transportation and Tourism,7000000,2021
Ninety One,Ahmedabad,E-Commerce and Retail,30000000,2021
Gobillion,Delhi,E-Commerce and Retail,2900000,2021
RIPPLR,Bengaluru,Transportation and Tourism,12000000,2021
SK Finance,Jaipur,Banking and Financial Services,53000000,2021
Eggoz,Gurugram,Agriculture and Food Production,3500000,2021
Fabriclore,Jaipur,Fashion and Beauty,700000,2021
Veefin,Mumbai,Information Technology (IT),3000000,2021
Verandah,Mumbai,Fashion and Beauty,1000000,2021
Karkinos Healthcare,Mumbai,Healthcare and Fitness,0,2021
OWO Technologies,Gurugram,Agriculture and Food Production,3000000,2021
EsportsXO,Bengaluru,Media and Entertainment,1100000,2021
Zorgers,Mohali,Healthcare and Fitness,0,2021
BangDB,Bengaluru,Information Technology (IT),0,2021
Neobank Jupiter,Mumbai,Banking and Financial Services,86000000,2021
Skippi Ice Pops,Hyderabad,Agriculture and Food Production,130000,2021
Glii,Noida,Social Development,10000,2021
GlobalBees,Delhi,E-Commerce and Retail,111000000,2021
Mamaearth,Gurugram,Healthcare and Fitness,37000000,2021
SecureNow,Gurugram,Banking and Financial Services,6000000,2021
Vendor Infra,Gurugram,Other,265000,2021
Hakuna Matata,Chennai,Information Technology (IT),1000000,2021
OneCard,Pune,Banking and Financial Services,76000000,2021
Doubtnut,Gurugram,Education,30000000,2021
Hubhopper,Delhi,Media and Entertainment,0,2021
Infra.Market,Thane,Other,100000000,2021
Comofi Medtech,Bengaluru,Other,200000,2021
Battery Smart,Delhi,Manufacturing,0,2021
Kutuki,Bengaluru,Education,2000000,2021
Onelife,Mumbai,Healthcare and Fitness,0,2021
Eupheus,Delhi,Education,4000000,2021
KreditBee,Bengaluru,Banking and Financial Services,75000000,2021
Pencil,Mumbai,Other,1000000,2021
Aisle,Bengaluru,Social Development,0,2021
Marquee Equity,Mumbai,Banking and Financial Services,3800000,2021
UptimeAI,Bengaluru,Other,1500000,2021
WizKlub,Bengaluru,Education,800000,2021
Zolve,Bengaluru,Banking and Financial Services,15000000,2021
MediBuddy,Bengaluru,Education,3000000,2021
Pariksha,Pune,Education,2000000,2021
Express Stores,Gurugram,E-Commerce and Retail,1000000,2021
Avataar Ventures,Bengaluru,Banking and Financial Services,100000000,2021
Zingbus,Haryana,Transportation and Tourism,0,2021
Phable,Bengaluru,Healthcare and Fitness,12000000,2021
Codingal,Bengaluru,Education,0,2021
Supply6,Bengaluru,Healthcare and Fitness,100000,2021
Swajal,Gurugram,Water and Environment,1600000,2021
BharatPe,Delhi,Banking and Financial Services,100000000,2021
Filo,Delhi,Education,260000,2021
Method & Madness,Mumbai,Other,2000000,2021
EduFund,Gujarat,Banking and Financial Services,300000,2021
Pepperfry,Mumbai,E-Commerce and Retail,30000000,2021
Zingavita,Chandigarh,Healthcare and Fitness,400000,2021
Hypd Store,Delhi,Information Technology (IT),0,2021
VerSe Innovation,Bengaluru,Career and Personal Development,1000000000,2021
Supersourcing,Indore,Information Technology (IT),200000,2021
AutomataPi,Powai,Manufacturing,400000,2021
Newton School,Bengaluru,Education,5000000,2021
TenderCuts,Chennai,Agriculture and Food Production,15000000,2021
Siply,Bengaluru,Banking and Financial Services,1000000,2021
SarvaGram,Mumbai,Banking and Financial Services,10000000,2021
Unlu,Gurugram,Career and Personal Development,1000000,2021
GlobalFair,Gurugram,E-Commerce and Retail,2000000,2021
Eduvanz,Mumbai,Banking and Financial Services,10000000,2021
OwO,Gurugram,E-Commerce and Retail,200000,2021
Progcap,Delhi,Banking and Financial Services,1000000,2021
ABL Workspaces,Delhi,Events and Hospitality,600000,2021
Nazara Technologies,Mumbai,Media and Entertainment,10000000,2021
Scentials,Mumbai,Healthcare and Fitness,6000000,2021
SplashLearn,Gurugram,Education,18000000,2021
Maya,Bengaluru,Healthcare and Fitness,2200000,2021
GoTo,Ghaziabad,Transportation and Tourism,150000,2021
MediBuddy,Bengaluru,Healthcare and Fitness,40000000,2021
Zetwerk,Bengaluru,E-Commerce and Retail,120000000,2021
Remedico,Hyderabad,Healthcare and Fitness,500000,2021
PrepBytes,Gurugram,Education,0,2021
SATYA MicroCapital,Delhi,Banking and Financial Services,20000000,2021
YourPhysio,Nagpur,Healthcare and Fitness,350000,2021
Aviom Housing Finance,Delhi,Banking and Financial Services,1000000,2021
Hemp Horizons,Noida,Other,200000,2021
MPL,Bengaluru,Media and Entertainment,95000000,2021
Koo,Bengaluru,E-Commerce and Retail,4100000,2021
InnerHour,Mumbai,Healthcare and Fitness,5200000,2021
Origo,Gurugram,Other,10000000,2021
ExMyB,Gurugram,Career and Personal Development,0,2021
Elucidata,Delhi,Information Technology (IT),5000000,2021
Saveo,Bengaluru,Healthcare and Fitness,4000000,2021
Qin1,Noida,Education,0,2021
DotPe,Gurugram,Banking and Financial Services,8000000,2021
Taskmo,Bengaluru,E-Commerce and Retail,1400000,2021
MasterMentors,West Bengal,Education,1500000,2021
KIKO TV,Mumbai,E-Commerce and Retail,0,2021
Quali55Care,Mumbai,Healthcare and Fitness,0,2021
Ruptok,Delhi,Banking and Financial Services,10000000,2021
RevFin,Delhi,Banking and Financial Services,0,2021
SeeVC,Delhi,Information Technology (IT),1000000,2021
Junio,Delhi,Education,1000000,2021
VenWiz,Bengaluru,E-Commerce and Retail,300000,2021
Vista Rooms,Mumbai,Events and Hospitality,1000000,2021
Makers Hive,Hyderabad,Information Technology (IT),9000000,2021
Headfone,Bengaluru,Information Technology (IT),3000000,2021
Zouk,Mumbai,Other,0,2021
MPL,Bengaluru,Media and Entertainment,5000000,2021
GrowFix,Bengaluru,Banking and Financial Services,2000000,2021
Bombay Shaving Company,Delhi,Other,6000000,2021
Dunzo,Bengaluru,Transportation and Tourism,40000000,2021
BeyondSkool,Mumbai,Education,2000000,2021
Mindler,Delhi,Education,1000000,2021
Fashinza,Gurgaon,E-Commerce and Retail,2600000,2021
BharatPe,Delhi,Banking and Financial Services,6000000,2021
Turnip,Bengaluru,Media and Entertainment,1600000,2021
Furlenco,Bengaluru,Career and Personal Development,2000000,2021
Inficold,Delhi,Other,900000,2021
KIWI,Delhi,Other,250000,2021
Digit Insurance,Bengaluru,Banking and Financial Services,0,2021
BharatPe,Delhi,Banking and Financial Services,10000000,2021
MFine,Bengaluru,Healthcare and Fitness,16000000,2021
Udayy,Gurgaon,Education,2500000,2021
Lohum,Noida,Transportation and Tourism,7000000,2021
Darwinbox,Hyderabad,Career and Personal Development,15000000,2021
DeHaat,Patna,Other,30000000,2021
Samunnati,Chennai,Other,10000000,2021
Biconomy,Delhi,Blockchain,1500000,2021
